                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.6793,                 1.0125,                 1.1517,                0.91229,                0.76255,                 0.8438,                0.45275,                 1.6422,                0.94404,                 1.1586,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6935,                0.99774,                 1.1353,                0.92384,                0.73644,                 0.8234,                0.43682,                   1.69,                0.97033,                 1.1681,                0.00101,                0.00101,                0.00101
                     52,                 1.6676,                 1.0168,                 1.1672,                0.92281,                0.75945,                0.84528,                0.48775,                 1.5235,                0.91676,                  1.124,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.6319,                0.98653,                 1.1477,                0.94008,                0.76518,                0.85802,                0.49986,                 1.4711,                0.86827,                 1.1068,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6436,                0.99437,                 1.1741,                0.95054,                0.76174,                0.85158,                 0.4863,                 1.4813,                 0.8823,                 1.1104,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6704,                 1.0137,                 1.1647,                0.90348,                0.76747,                0.84766,                0.50128,                 1.4629,                0.90751,                  1.109,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6156,                0.98428,                 1.1498,                0.92274,                0.79496,                0.86645,                0.49743,                 1.4746,                0.86704,                 1.0997,               0.000911,               0.000911,               0.000911
                     57,                 1.5957,                0.93832,                 1.1287,                0.94692,                0.75143,                0.84578,                0.49079,                 1.4874,                0.89116,                 1.1069,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6116,                0.95574,                 1.1259,                0.94881,                0.78558,                0.87173,                0.52564,                 1.4071,                 0.8465,                 1.0788,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6124,                0.96466,                 1.1367,                0.94195,                0.78923,                0.85871,                0.51605,                 1.4268,                0.82069,                 1.0946,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.5643,                0.90527,                 1.1037,                0.92424,                0.79649,                0.86755,                 0.5088,                 1.4501,                0.86009,                 1.0915,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.5743,                0.92298,                 1.1115,                0.94206,                0.74112,                0.84025,                0.45636,                 1.5923,                0.94899,                 1.1234,               0.000812,               0.000812,               0.000812
                     62,                 1.5743,                0.92691,                 1.1068,                0.96532,                0.76517,                0.86921,                0.52877,                  1.395,                 0.8219,                 1.0843,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4991,                0.87499,                 1.0979,                0.93144,                 0.7626,                0.85823,                0.49143,                 1.5246,                0.88013,                 1.1084,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5557,                0.90282,                 1.1219,                0.94512,                0.78912,                0.87335,                0.53951,                 1.3862,                0.80797,                 1.0774,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4886,                0.86328,                 1.1021,                0.95452,                0.79337,                0.87916,                0.53542,                 1.3898,                0.78054,                 1.0768,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5179,                0.85369,                 1.0776,                0.96206,                0.78923,                0.87935,                 0.5319,                 1.3919,                0.83564,                 1.0816,               0.000713,               0.000713,               0.000713
                     67,                 1.6104,                0.89886,                 1.1178,                0.95753,                0.80057,                0.88138,                0.52422,                 1.4655,                0.81053,                 1.0982,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.5003,                0.86653,                 1.0972,                0.97032,                0.78654,                0.88057,                0.53155,                 1.4023,                0.82629,                 1.0841,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4898,                0.85325,                 1.0807,                0.96046,                 0.8069,                0.88623,                0.55475,                 1.3426,                0.77177,                 1.0607,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5254,                0.88079,                 1.1204,                0.95281,                0.80527,                 0.8875,                0.56559,                 1.3264,                0.75308,                 1.0613,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5002,                0.83064,                 1.0904,                0.94651,                0.81083,                0.89076,                0.56333,                 1.3295,                0.73632,                 1.0569,               0.000614,               0.000614,               0.000614
                     72,                  1.485,                0.84048,                  1.084,                0.95474,                0.79746,                 0.8874,                 0.5599,                 1.3301,                0.75984,                 1.0621,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4519,                0.85135,                 1.1028,                0.96018,                  0.801,                0.88563,                0.56432,                 1.3164,                0.77498,                 1.0543,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4545,                0.85944,                 1.0777,                 0.9454,                0.81329,                0.88818,                0.54956,                 1.3326,                 0.7607,                 1.0575,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4255,                0.83346,                  1.066,                0.94585,                0.80069,                0.88572,                0.57054,                 1.3054,                0.79083,                 1.0514,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4859,                0.85815,                 1.1049,                0.95912,                 0.8236,                0.89682,                 0.5424,                  1.398,                0.75296,                 1.0607,               0.000515,               0.000515,               0.000515
                     77,                  1.466,                0.82647,                 1.0895,                0.95045,                0.81672,                0.89437,                0.57794,                 1.2769,                0.70653,                 1.0387,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.4131,                0.83834,                 1.0823,                0.95705,                0.81685,                0.89557,                0.56834,                 1.3063,                0.74303,                 1.0505,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.4197,                 0.7991,                 1.0432,                0.95047,                0.81332,                   0.89,                0.54754,                 1.3625,                0.75009,                 1.0555,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3883,                0.79476,                 1.0433,                0.96733,                0.81387,                0.89896,                0.57994,                 1.2523,                0.69231,                 1.0313,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.4411,                0.79896,                 1.0613,                0.97405,                0.79611,                0.89848,                0.54756,                  1.335,                0.72074,                 1.0496,               0.000416,               0.000416,               0.000416
                     82,                 1.4279,                 0.8103,                 1.0595,                0.96253,                0.82392,                0.90488,                0.57896,                 1.2497,                0.70406,                 1.0273,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.4317,                0.77518,                 1.0396,                0.97139,                0.81683,                0.90543,                0.58442,                 1.2398,                0.69648,                 1.0266,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.4216,                0.79773,                 1.0659,                0.95521,                0.81901,                0.90082,                0.58415,                 1.2566,                0.74719,                 1.0327,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3992,                0.78501,                 1.0461,                 0.9569,                0.83925,                 0.9037,                0.59633,                  1.237,                0.69249,                 1.0271,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3768,                0.76362,                 1.0605,                0.94708,                0.83276,                0.90006,                0.56182,                 1.3108,                0.71231,                 1.0438,               0.000317,               0.000317,               0.000317
                     87,                 1.3777,                0.77739,                 1.0431,                 0.9663,                0.82105,                0.90252,                0.59136,                 1.2413,                 0.6955,                  1.023,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3798,                0.76117,                 1.0503,                0.95337,                0.83162,                0.90511,                0.58684,                 1.2409,                0.69149,                 1.0235,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3475,                0.75989,                 1.0194,                 0.9628,                0.83014,                0.90712,                0.59801,                 1.2117,                0.69252,                 1.0183,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.4256,                0.81071,                 1.1168,                0.95072,                 0.8362,                0.90384,                0.59435,                 1.2122,                0.70068,                 1.0178,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3309,                0.75804,                  1.028,                0.95669,                0.83496,                0.90584,                0.59019,                 1.2358,                0.68121,                 1.0205,               0.000218,               0.000218,               0.000218
                     92,                 1.3003,                0.72071,                 1.0184,                0.97291,                0.82016,                0.90427,                0.59439,                 1.2237,                 0.6811,                 1.0166,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2624,                0.70645,                 1.0162,                0.95738,                0.82342,                0.90039,                0.59479,                 1.2002,                 0.7253,                 1.0083,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2834,                0.70905,                 1.0304,                0.92075,                0.82507,                0.89753,                0.59834,                 1.1953,                0.72087,                 1.0128,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2633,                0.70391,                 1.0082,                0.94444,                0.83505,                0.90484,                0.59901,                 1.2022,                0.66867,                 1.0087,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2149,                0.68937,                 1.0085,                0.95878,                 0.8362,                0.90939,                0.59392,                 1.2109,                 0.6602,                 1.0079,               0.000119,               0.000119,               0.000119
                     97,                 1.2158,                0.66792,                 1.0077,                 0.9548,                0.83391,                0.90714,                0.60689,                 1.1708,                 0.6591,                0.99844,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2242,                0.68436,                 1.0032,                0.96757,                0.83276,                0.90968,                0.60782,                 1.1738,                0.66065,                0.99919,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2213,                0.68109,                0.99868,                0.95909,                0.83734,                0.91021,                0.60759,                  1.171,                  0.655,                0.99879,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.207,                0.66949,                 1.0092,                0.95951,                0.84154,                 0.9123,                0.60714,                 1.1793,                 0.6466,                0.99944,               3.98e-05,               3.98e-05,               3.98e-05
